,Country,Win Percentage
0,Australia,61.68
1,England,60.19
2,India,59.31
3,Pakistan,51.77
4,South Africa,52.6
5,New Zealand,51.05
6,West Indies,43.59
7,Sri Lanka,37.91
8,Afghanistan,68.0
9,Bangladesh,36.5
10,Ireland,37.5
11,Netherlands,47.5
12,Scotland,49.25
13,United Arab Emirates,44.64
14,Namibia,73.53
15,Zimbabwe,28.95
16,Nepal,55.0
17,Papua New Guinea,60.0
18,Thailand,48.57
19,Hong Kong,34.0
20,Malaysia,42.86
21,Oman,40.0
22,Germany,76.47
23,Kenya,36.67
24,Singapore,50.0
25,Canada,34.78
26,Jersey,60.0
27,Uganda,46.15
28,United States of America,35.71
29,China,55.56
30,Spain,83.33
31,Vanuatu,41.67
32,Bermuda,33.33
33,Belgium,100.0
34,Kuwait,25.0
35,Guernsey,50.0
36,Japan,50.0
37,Rwanda,50.0
38,Sierra Leone,42.86
39,Nigeria,27.27
40,Romania,66.67
41,Maldives,20.0
42,Botswana,12.5
43,Qatar,33.33
44,Tanzania,66.67
45,Italy,50.0
46,Denmark,33.33
47,Indonesia,66.67
48,Mozambique,16.67
49,ICC World XI,25.0
50,Malawi,33.33
51,Philippines,25.0
52,Samoa,50.0
53,Portugal,33.33
54,Bahrain,50.0
55,Bulgaria,33.33
